Data,Label
মুগ্ধ হয়ে গেলাম মামু. আর তোমায় কি কমু. বলো তোমায় কোথায় পামু. আমি তোমার সাথে যাবু. গান কমু তোমার মতো গলি ঘুরমু. ,1
 এই কুত্তার বাচ্চাদের জন্য দেশটা আজ এমন অবস্তায় এই তিনটা পুলিশ কে তরে সবার সামনে মেরে পেলা দরকার ,2
 ভাই আপনার কথাই যাদু রয়েছে ,1
 উওরটা আমার অনেক ভালো লেগেছে ,1
 আমার নিজের আমার নিয়ে কি সাজেক যেতে অনেক না? প্রাইভেট কার নিয়ে? ,0
" যেমন : পরীক্ষার রেজাল্টের সময় , বিভিন্ন ব্যানিজ্যিক প্রচার ইত্যাদি ",0
 বিশ্বনন্দিত বিশ্ব জয় করা ইসলামের পাখিদের কোরআনের পাখিদের কোন খবর নাই আরিফ অব্যয় বোদার বয় সিঙ্গেল বয় জাতি হিসেবে বাঙালি বর্তমানে কত মুরুক্ষ এটা তারই প্রমাণ ঝাড়ু মার তোর কপালে ,2
" সাপ্তাহিক মুসুল্লিদের কথাটাও তুলে ধরলে ভাই , চোখ খুলে তুলে ",1
 আমি ভেবেছিলাম গালিগালাজ করে সেরা ছেলে সে? গালিবয় ,0
" তুমি রেপারই হও , ডাক্তার হওয়ার দরকার নাই তোমার ",0
 হওয়ার মেয়েটার ফ্রেন্ড তা অনেক কিউট ,2
 আচ্ছা চারপাশে অন্ধকার কেন? লাইট টা শুধু আপনাদের টেবিলে পড়ছে কেন ,1
 আল্লাহ আপনাকে হায়াত দারাজ করুন এবং সবার মাঝে সুস্থ ভাবে বেঁচে থাকার তৌফিক দান করুক ,1
 ভাই এত সুন্দর ভিডিও বানানো কিন্তু থাকার বাড়ে না কোনো? ,1
 সাধারণ মানুষ কি অ্যাই কাজ করে। সব করে রাজনীতি ব্যক্তি আর পুলিশ। আমার এক্তাই প্রশ্ন এদের এই সাহস কে দিছে ,2
 ভাই দয়াকরে খাবার নষ্ট করবেন্না ,2
